tab_log_data;tab_log_log
"2025-01-02 12:49:17";"{""log"": ""limite"", ""valor"": 115, ""id_cliente"": 46, ""id_entidade"": 2}"
"2025-01-02 13:57:00";"{""log"": ""limite"", ""valor"": 115, ""id_cliente"": 47, ""id_entidade"": 2}"
"2025-01-02 13:58:01";"{""log"": ""limite"", ""valor"": 115, ""id_cliente"": 48, ""id_entidade"": 2}"
"2025-01-02 14:19:50";"{""log"": ""limite"", ""valor"": 115, ""id_cliente"": 50, ""id_entidade"": 2}"
"2025-01-02 14:29:35";"{""log"": ""venda_prazo"", ""id_venda"": 28, ""id_entidade"": 2}"
"2025-01-02 14:51:19";"{""log"": ""limite"", ""valor"": 115, ""id_cliente"": 52, ""id_entidade"": 2}"
"2025-01-02 14:54:02";"{""log"": ""limite"", ""valor"": 120, ""id_cliente"": 53, ""id_entidade"": 2}"
"2025-01-02 15:13:51";"{""log"": ""limite"", ""valor"": 103, ""id_cliente"": 54, ""id_entidade"": 2}"
"2025-01-02 15:15:35";"{""log"": ""limite"", ""valor"": 103, ""id_cliente"": 56, ""id_entidade"": 2}"
"2025-01-02 16:09:41";"{""log"": ""limite"", ""valor"": 120, ""id_cliente"": 57, ""id_entidade"": 2}"
"2025-01-02 16:11:52";"{""log"": ""estorno_item"", ""id_venda"": 41, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-02 16:48:27";"{""log"": ""limite"", ""valor"": 115, ""id_cliente"": 58, ""id_entidade"": 2}"
"2025-01-02 18:00:38";"{""log"": ""limite"", ""valor"": 120, ""id_cliente"": 59, ""id_entidade"": 2}"
"2025-01-02 18:01:10";"{""log"": ""estorno_venda"", ""obs"": ""teste"", ""id_venda"": 41, ""id_entidade"": 2}"
"2025-01-02 18:02:13";"{""log"": ""estorno_venda"", ""obs"": ""cancelamento"", ""id_venda"": 43, ""id_entidade"": 2}"
"2025-01-02 19:26:27";"{""log"": ""venda_prazo"", ""id_venda"": 12, ""id_entidade"": 2}"
"2025-01-02 19:26:33";"{""log"": ""venda_prazo"", ""id_venda"": 17, ""id_entidade"": 2}"
"2025-01-02 19:27:21";"{""log"": ""limite"", ""valor"": 0, ""id_cliente"": 56, ""id_entidade"": 2}"
"2025-01-02 19:32:58";"{""log"": ""venda_prazo"", ""id_venda"": 39, ""id_entidade"": 2}"
"2025-01-03 09:46:27";"{""log"": ""venda_prazo"", ""id_venda"": 17, ""id_entidade"": 2}"
"2025-01-03 10:15:29";"{""log"": ""limite"", ""valor"": 120, ""id_cliente"": 62, ""id_entidade"": 2}"
"2025-01-03 10:30:38";"{""log"": ""estorno_item"", ""id_venda"": 47, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-03 10:44:24";"{""log"": ""estorno_venda"", ""obs"": ""vitor fez  2x"", ""id_venda"": 47, ""id_entidade"": 2}"
"2025-01-03 11:38:04";"{""log"": ""estorno_item"", ""id_venda"": 50, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-03 11:38:42";"{""log"": ""estorno_item"", ""id_venda"": 51, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-03 12:09:43";"{""log"": ""estorno_item"", ""id_venda"": 51, ""id_entidade"": 2, ""id_vendaitem"": 2}"
"2025-01-03 12:10:02";"{""log"": ""estorno_venda"", ""obs"": ""erro1"", ""id_venda"": 51, ""id_entidade"": 2}"
"2025-01-03 14:10:11";"{""log"": ""venda_prazo"", ""id_venda"": 49, ""id_entidade"": 2}"
"2025-01-03 14:11:47";"{""log"": ""venda_prazo"", ""id_venda"": 49, ""id_entidade"": 2}"
"2025-01-03 15:34:48";"{""log"": ""produto_estoque_del"", ""obs"": ""Transferência para o estoque secundário."", ""qtd"": 12, ""custoun"": 79.32, ""id_produto"": 1, ""id_entidade"": 1}"
"2025-01-03 15:34:48";"{""log"": ""produto_estoque_secundario_add"", ""obs"": ""Transferência do estoque primário."", ""qtd"": 12, ""id_produto"": 1, ""id_entidade"": 1}"
"2025-01-03 16:04:36";"{""log"": ""venda_prazo"", ""id_venda"": 57, ""id_entidade"": 2}"
"2025-01-03 16:39:07";"{""log"": ""venda_prazo"", ""id_venda"": 61, ""id_entidade"": 2}"
"2025-01-03 16:45:51";"{""log"": ""venda_prazo"", ""id_venda"": 63, ""id_entidade"": 2}"
"2025-01-03 17:17:46";"{""log"": ""estorno_venda"", ""obs"": ""ERRADO"", ""id_venda"": 67, ""id_entidade"": 2}"
"2025-01-03 17:18:07";"{""log"": ""estorno_venda"", ""obs"": ""ERRADO"", ""id_venda"": 68, ""id_entidade"": 2}"
"2025-01-03 19:24:41";"{""log"": ""estorno_venda"", ""obs"": ""errado"", ""id_venda"": 70, ""id_entidade"": 2}"
"2025-01-03 19:52:20";"{""log"": ""estorno_venda"", ""obs"": ""cancelamento"", ""id_venda"": 72, ""id_entidade"": 2}"
"2025-01-03 20:09:13";"{""log"": ""venda_prazo"", ""id_venda"": 76, ""id_entidade"": 2}"
"2025-01-03 22:36:15";"{""log"": ""venda_prazo"", ""id_venda"": 76, ""id_entidade"": 1}"
"2025-01-04 09:57:58";"{""log"": ""venda_prazo"", ""id_venda"": 78, ""id_entidade"": 2}"
"2025-01-04 13:20:55";"{""log"": ""estorno_item"", ""id_venda"": 87, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-04 13:25:15";"{""log"": ""venda_prazo"", ""id_venda"": 86, ""id_entidade"": 2}"
"2025-01-04 13:28:31";"{""log"": ""estorno_item"", ""id_venda"": 88, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-04 13:28:40";"{""log"": ""estorno_item"", ""id_venda"": 88, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-04 13:38:24";"{""log"": ""estorno_venda"", ""obs"": ""errado"", ""id_venda"": 87, ""id_entidade"": 2}"
"2025-01-04 13:40:01";"{""log"": ""venda_prazo"", ""id_venda"": 91, ""id_entidade"": 2}"
"2025-01-04 14:30:08";"{""log"": ""venda_prazo"", ""id_venda"": 96, ""id_entidade"": 2}"
"2025-01-04 15:26:58";"{""log"": ""venda_prazo"", ""id_venda"": 99, ""id_entidade"": 2}"
"2025-01-04 16:08:47";"{""log"": ""estorno_venda"", ""obs"": ""err"", ""id_venda"": 104, ""id_entidade"": 2}"
"2025-01-04 19:42:37";"{""log"": ""estorno_venda"", ""obs"": ""ERRADO"", ""id_venda"": 108, ""id_entidade"": 2}"
"2025-01-04 20:06:24";"{""log"": ""estorno_venda"", ""obs"": ""ERRADO"", ""id_venda"": 82, ""id_entidade"": 2}"
"2025-01-04 20:09:01";"{""log"": ""estorno_venda"", ""obs"": ""ERRADO"", ""id_venda"": 81, ""id_entidade"": 2}"
"2025-01-04 20:39:49";"{""log"": ""venda_prazo"", ""id_venda"": 99, ""id_entidade"": 1}"
"2025-01-05 12:00:33";"{""log"": ""estorno_item"", ""id_venda"": 119, ""id_entidade"": 1, ""id_vendaitem"": 2}"
"2025-01-05 12:09:39";"{""log"": ""limite"", ""valor"": 0, ""id_cliente"": 13, ""id_entidade"": 1}"
"2025-01-05 13:00:05";"{""log"": ""estorno_item"", ""id_venda"": 121, ""id_entidade"": 1, ""id_vendaitem"": 1}"
"2025-01-05 13:00:11";"{""log"": ""preco"", ""promocao"": false, ""id_produto"": 1, ""preco_novo"": 117, ""id_entidade"": 1, ""preco_anterior"": 115}"
"2025-01-05 13:00:24";"{""log"": ""preco"", ""promocao"": false, ""id_produto"": 1, ""preco_novo"": 115, ""id_entidade"": 1, ""preco_anterior"": 117}"
"2025-01-05 13:47:54";"{""log"": ""venda_prazo"", ""id_venda"": 112, ""id_entidade"": 1}"
"2025-01-06 09:27:58";"{""log"": ""estorno_item"", ""id_venda"": 122, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-06 09:43:49";"{""log"": ""estorno_venda"", ""obs"": ""pedido "", ""id_venda"": 122, ""id_entidade"": 2}"
"2025-01-06 10:21:48";"{""log"": ""estorno_venda"", ""obs"": ""error"", ""id_venda"": 128, ""id_entidade"": 2}"
"2025-01-06 11:50:54";"{""log"": ""venda_prazo"", ""id_venda"": 132, ""id_entidade"": 2}"
"2025-01-06 12:07:10";"{""log"": ""venda_prazo"", ""id_venda"": 134, ""id_entidade"": 2}"
"2025-01-06 12:10:31";"{""log"": ""estorno_venda"", ""obs"": ""ERRADO"", ""id_venda"": 136, ""id_entidade"": 2}"
"2025-01-06 12:13:49";"{""log"": ""venda_prazo"", ""id_venda"": 138, ""id_entidade"": 2}"
"2025-01-06 19:46:34";"{""log"": ""produto_estoque_del"", ""obs"": ""Transferência para o estoque secundário."", ""qtd"": 13, ""custoun"": 79.32, ""id_produto"": 1, ""id_entidade"": 1}"
"2025-01-06 19:46:34";"{""log"": ""produto_estoque_secundario_add"", ""obs"": ""Transferência do estoque primário."", ""qtd"": 13, ""id_produto"": 1, ""id_entidade"": 1}"
"2025-01-06 19:53:59";"{""log"": ""produto_estoque_del"", ""obs"": """", ""qtd"": 5, ""custoun"": 79.32, ""id_produto"": 1, ""id_entidade"": 1}"
"2025-01-06 23:28:21";"{""log"": ""estorno_venda"", ""obs"": ""Devolveu"", ""id_venda"": 99, ""id_entidade"": 1}"
"2025-01-07 08:07:22";"{""log"": ""estorno_item"", ""id_venda"": 154, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-07 08:10:14";"{""log"": ""estorno_venda"", ""obs"": ""erros"", ""id_venda"": 154, ""id_entidade"": 2}"
"2025-01-07 08:26:09";"{""log"": ""estorno_venda"", ""obs"": ""ERRADO"", ""id_venda"": 156, ""id_entidade"": 2}"
"2025-01-07 08:26:23";"{""log"": ""estorno_venda"", ""obs"": ""ERRADO"", ""id_venda"": 157, ""id_entidade"": 2}"
"2025-01-07 09:28:36";"{""log"": ""estorno_venda"", ""obs"": ""error"", ""id_venda"": 159, ""id_entidade"": 2}"
"2025-01-07 09:38:07";"{""log"": ""estorno_venda"", ""obs"": ""erros"", ""id_venda"": 161, ""id_entidade"": 2}"
"2025-01-07 09:40:41";"{""log"": ""estorno_venda"", ""obs"": ""fez  2x"", ""id_venda"": 162, ""id_entidade"": 2}"
"2025-01-07 12:13:17";"{""log"": ""estorno_venda"", ""obs"": ""pagamento em formato errado"", ""id_venda"": 168, ""id_entidade"": 2}"
"2025-01-07 12:54:27";"{""log"": ""venda_prazo"", ""id_venda"": 174, ""id_entidade"": 2}"
"2025-01-07 12:58:15";"{""log"": ""estorno_venda"", ""obs"": ""ta sem nome"", ""id_venda"": 176, ""id_entidade"": 2}"
"2025-01-07 14:13:15";"{""log"": ""venda_prazo"", ""id_venda"": 180, ""id_entidade"": 2}"
"2025-01-07 16:19:32";"{""log"": ""estorno_venda"", ""obs"": ""ERRADO"", ""id_venda"": 183, ""id_entidade"": 2}"
"2025-01-07 17:57:15";"{""log"": ""estorno_item"", ""id_venda"": 188, ""id_entidade"": 2, ""id_vendaitem"": 2}"
"2025-01-07 18:00:08";"{""log"": ""estorno_venda"", ""obs"": ""erro"", ""id_venda"": 189, ""id_entidade"": 2}"
"2025-01-07 18:16:29";"{""log"": ""estorno_venda"", ""obs"": ""error"", ""id_venda"": 191, ""id_entidade"": 2}"
"2025-01-07 18:16:43";"{""log"": ""estorno_venda"", ""obs"": ""erro"", ""id_venda"": 186, ""id_entidade"": 2}"
"2025-01-07 18:33:27";"{""log"": ""estorno_venda"", ""obs"": ""ta sem nome"", ""id_venda"": 194, ""id_entidade"": 2}"
"2025-01-07 18:35:42";"{""log"": ""estorno_venda"", ""obs"": ""erro"", ""id_venda"": 192, ""id_entidade"": 2}"
"2025-01-07 18:35:59";"{""log"": ""estorno_venda"", ""obs"": ""erro"", ""id_venda"": 195, ""id_entidade"": 2}"
"2025-01-07 18:45:30";"{""log"": ""estorno_item"", ""id_venda"": 190, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-07 18:45:48";"{""log"": ""estorno_venda"", ""obs"": ""erro"", ""id_venda"": 190, ""id_entidade"": 2}"
"2025-01-07 18:56:20";"{""log"": ""estorno_item"", ""id_venda"": 198, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-07 19:24:14";"{""log"": ""venda_prazo"", ""id_venda"": 172, ""id_entidade"": 2}"
"2025-01-07 20:14:47";"{""log"": ""venda_prazo"", ""id_venda"": 199, ""id_entidade"": 2}"
"2025-01-07 20:22:54";"{""log"": ""produto_estoque_del"", ""obs"": """", ""qtd"": 1, ""custoun"": 79.32, ""id_produto"": 1, ""id_entidade"": 2}"
"2025-01-08 10:33:53";"{""log"": ""venda_prazo"", ""id_venda"": 206, ""id_entidade"": 2}"
"2025-01-08 11:15:19";"{""log"": ""estorno_venda"", ""obs"": ""erros"", ""id_venda"": 210, ""id_entidade"": 2}"
"2025-01-08 11:55:32";"{""log"": ""venda_prazo"", ""id_venda"": 212, ""id_entidade"": 2}"
"2025-01-08 11:58:51";"{""log"": ""estorno_venda"", ""obs"": ""erros"", ""id_venda"": 214, ""id_entidade"": 2}"
"2025-01-08 12:01:24";"{""log"": ""venda_prazo"", ""id_venda"": 216, ""id_entidade"": 2}"
"2025-01-08 12:06:21";"{""log"": ""venda_prazo"", ""id_venda"": 217, ""id_entidade"": 2}"
"2025-01-08 13:31:30";"{""log"": ""estorno_venda"", ""obs"": ""error"", ""id_venda"": 221, ""id_entidade"": 2}"
"2025-01-08 13:56:22";"{""log"": ""estorno_venda"", ""obs"": ""erro"", ""id_venda"": 222, ""id_entidade"": 2}"
"2025-01-08 18:26:42";"{""log"": ""estorno_venda"", ""obs"": ""ERRADO"", ""id_venda"": 230, ""id_entidade"": 2}"
"2025-01-08 20:22:20";"{""log"": ""produto_estoque_add"", ""obs"": """", ""qtd"": 1, ""custoun"": 79.32, ""id_produto"": 1, ""id_entidade"": 2}"
"2025-01-09 08:42:44";"{""log"": ""estorno_venda"", ""obs"": ""foi contado junto com o pedido anterior"", ""id_venda"": 180, ""id_entidade"": 2}"
"2025-01-09 08:47:41";"{""log"": ""venda_prazo"", ""id_venda"": 234, ""id_entidade"": 2}"
"2025-01-09 10:56:07";"{""log"": ""estorno_venda"", ""obs"": ""ta sem nome"", ""id_venda"": 237, ""id_entidade"": 2}"
"2025-01-09 12:10:34";"{""log"": ""estorno_venda"", ""obs"": ""erro"", ""id_venda"": 241, ""id_entidade"": 2}"
"2025-01-09 12:33:18";"{""log"": ""venda_prazo"", ""id_venda"": 242, ""id_entidade"": 2}"
"2025-01-09 12:35:00";"{""log"": ""venda_prazo"", ""id_venda"": 244, ""id_entidade"": 2}"
"2025-01-09 12:39:41";"{""log"": ""venda_prazo"", ""id_venda"": 248, ""id_entidade"": 2}"
"2025-01-09 12:40:53";"{""log"": ""estorno_item"", ""id_venda"": 242, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-09 12:41:05";"{""log"": ""venda_prazo"", ""id_venda"": 242, ""id_entidade"": 2}"
"2025-01-09 15:03:36";"{""log"": ""estorno_venda"", ""obs"": ""erro"", ""id_venda"": 252, ""id_entidade"": 2}"
"2025-01-09 15:17:06";"{""log"": ""estorno_item"", ""id_venda"": 254, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-09 15:17:22";"{""log"": ""estorno_venda"", ""obs"": ""nao tinha dinheiro no cartão"", ""id_venda"": 254, ""id_entidade"": 2}"
"2025-01-09 15:46:03";"{""log"": ""venda_prazo"", ""id_venda"": 257, ""id_entidade"": 2}"
"2025-01-09 18:09:27";"{""log"": ""estorno_venda"", ""obs"": ""foi no endereço e disse que nao pediu"", ""id_venda"": 261, ""id_entidade"": 2}"
"2025-01-09 18:52:19";"{""log"": ""estorno_item"", ""id_venda"": 262, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-09 18:52:32";"{""log"": ""estorno_venda"", ""obs"": ""erro"", ""id_venda"": 262, ""id_entidade"": 2}"
"2025-01-09 19:10:57";"{""log"": ""estorno_venda"", ""obs"": ""ERRADO"", ""id_venda"": 263, ""id_entidade"": 2}"
"2025-01-09 19:45:50";"{""log"": ""estorno_item"", ""id_venda"": 264, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-09 19:45:56";"{""log"": ""venda_prazo"", ""id_venda"": 264, ""id_entidade"": 2}"
"2025-01-09 20:12:08";"{""log"": ""venda_prazo"", ""id_venda"": 269, ""id_entidade"": 2}"
"2025-01-09 20:45:14";"{""log"": ""estorno_venda"", ""obs"": ""Erro"", ""id_venda"": 264, ""id_entidade"": 1}"
"2025-01-09 20:46:07";"{""log"": ""estorno_venda"", ""obs"": ""Erro"", ""id_venda"": 265, ""id_entidade"": 1}"
"2025-01-09 21:36:00";"{""log"": ""produto_estoque_del"", ""obs"": """", ""qtd"": 1, ""custoun"": 79.32, ""id_produto"": 1, ""id_entidade"": 2}"
"2025-01-09 22:31:17";"{""log"": ""produto_estoque_add"", ""obs"": """", ""qtd"": 10, ""custoun"": 0, ""id_produto"": 6, ""id_entidade"": 1}"
"2025-01-09 22:31:40";"{""log"": ""preco"", ""promocao"": false, ""id_produto"": 6, ""preco_novo"": 600, ""id_entidade"": 1, ""preco_anterior"": 0}"
"2025-01-10 10:11:42";"{""log"": ""venda_prazo"", ""id_venda"": 272, ""id_entidade"": 2}"
"2025-01-10 12:16:03";"{""log"": ""venda_prazo"", ""id_venda"": 274, ""id_entidade"": 2}"
"2025-01-10 12:18:40";"{""log"": ""venda_prazo"", ""id_venda"": 276, ""id_entidade"": 2}"
"2025-01-10 12:21:05";"{""log"": ""venda_prazo"", ""id_venda"": 278, ""id_entidade"": 2}"
"2025-01-10 13:21:04";"{""log"": ""venda_prazo"", ""id_venda"": 281, ""id_entidade"": 2}"
"2025-01-10 14:01:07";"{""log"": ""venda_prazo"", ""id_venda"": 282, ""id_entidade"": 2}"
"2025-01-10 17:16:26";"{""log"": ""estorno_venda"", ""obs"": ""erro"", ""id_venda"": 292, ""id_entidade"": 2}"
"2025-01-10 19:38:34";"{""log"": ""venda_prazo"", ""id_venda"": 297, ""id_entidade"": 2}"
"2025-01-10 20:26:54";"{""log"": ""venda_prazo"", ""id_venda"": 300, ""id_entidade"": 2}"
"2025-01-10 20:35:20";"{""log"": ""estorno_venda"", ""obs"": ""errro"", ""id_venda"": 299, ""id_entidade"": 2}"
"2025-01-10 20:40:23";"{""log"": ""produto_estoque_del"", ""obs"": ""Transferência para o estoque secundário."", ""qtd"": 1, ""custoun"": 79.32, ""id_produto"": 1, ""id_entidade"": 2}"
"2025-01-10 20:40:23";"{""log"": ""produto_estoque_secundario_add"", ""obs"": ""Transferência do estoque primário."", ""qtd"": 1, ""id_produto"": 1, ""id_entidade"": 2}"
"2025-01-10 20:41:24";"{""log"": ""produto_estoque_add"", ""obs"": """", ""qtd"": 2, ""custoun"": 79.32, ""id_produto"": 1, ""id_entidade"": 2}"
"2025-01-11 12:25:51";"{""log"": ""venda_prazo"", ""id_venda"": 308, ""id_entidade"": 2}"
"2025-01-11 13:07:03";"{""log"": ""estorno_item"", ""id_venda"": 309, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-11 13:44:14";"{""log"": ""venda_prazo"", ""id_venda"": 312, ""id_entidade"": 2}"
"2025-01-11 14:02:00";"{""log"": ""venda_prazo"", ""id_venda"": 317, ""id_entidade"": 2}"
"2025-01-11 14:07:14";"{""log"": ""venda_prazo"", ""id_venda"": 318, ""id_entidade"": 2}"
"2025-01-11 14:09:13";"{""log"": ""venda_prazo"", ""id_venda"": 319, ""id_entidade"": 2}"
"2025-01-11 14:12:06";"{""log"": ""venda_prazo"", ""id_venda"": 320, ""id_entidade"": 2}"
"2025-01-11 14:17:19";"{""log"": ""venda_prazo"", ""id_venda"": 321, ""id_entidade"": 2}"
"2025-01-11 14:17:56";"{""log"": ""venda_prazo"", ""id_venda"": 322, ""id_entidade"": 2}"
"2025-01-11 14:18:31";"{""log"": ""estorno_item"", ""id_venda"": 321, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-11 14:24:19";"{""log"": ""venda_prazo"", ""id_venda"": 321, ""id_entidade"": 2}"
"2025-01-11 14:25:24";"{""log"": ""venda_prazo"", ""id_venda"": 323, ""id_entidade"": 2}"
"2025-01-11 15:53:46";"{""log"": ""venda_prazo"", ""id_venda"": 328, ""id_entidade"": 2}"
"2025-01-11 16:15:15";"{""log"": ""limite"", ""valor"": 0, ""id_cliente"": 38, ""id_entidade"": 2}"
"2025-01-11 16:31:13";"{""log"": ""venda_prazo"", ""id_venda"": 334, ""id_entidade"": 2}"
"2025-01-11 18:17:27";"{""log"": ""estorno_venda"", ""obs"": ""erro"", ""id_venda"": 322, ""id_entidade"": 2}"
"2025-01-11 18:19:09";"{""log"": ""estorno_venda"", ""obs"": ""cliente errado"", ""id_venda"": 336, ""id_entidade"": 2}"
"2025-01-11 18:19:15";"{""log"": ""estorno_item"", ""id_venda"": 337, ""id_entidade"": 2, ""id_vendaitem"": 2}"
"2025-01-11 20:31:52";"{""log"": ""estorno_venda"", ""obs"": ""Duplicado"", ""id_venda"": 338, ""id_entidade"": 2}"
"2025-01-12 09:11:17";"{""log"": ""estorno_venda"", ""obs"": ""error"", ""id_venda"": 341, ""id_entidade"": 2}"
"2025-01-12 11:28:48";"{""log"": ""venda_prazo"", ""id_venda"": 346, ""id_entidade"": 2}"
"2025-01-12 12:42:42";"{""log"": ""venda_prazo"", ""id_venda"": 346, ""id_entidade"": 2}"
"2025-01-12 12:43:30";"{""log"": ""venda_prazo"", ""id_venda"": 349, ""id_entidade"": 2}"
"2025-01-12 15:17:51";"{""log"": ""estorno_venda"", ""obs"": ""erro"", ""id_venda"": 357, ""id_entidade"": 2}"
"2025-01-13 14:17:45";"{""log"": ""venda_prazo"", ""id_venda"": 365, ""id_entidade"": 2}"
"2025-01-13 19:10:12";"{""log"": ""produto_estoque_secundario_add"", ""obs"": ""total de vasilhames"", ""qtd"": 452, ""id_produto"": 4, ""id_entidade"": 1}"
"2025-01-13 19:12:42";"{""log"": ""venda_prazo"", ""id_venda"": 375, ""id_entidade"": 2}"
"2025-01-13 19:37:29";"{""log"": ""estorno_venda"", ""obs"": ""devolveu"", ""id_venda"": 321, ""id_entidade"": 2}"
"2025-01-13 19:38:33";"{""log"": ""estorno_venda"", ""obs"": ""devolveu"", ""id_venda"": 323, ""id_entidade"": 2}"
"2025-01-13 20:03:38";"{""log"": ""produto_estoque_secundario_del"", ""obs"": ""Transferência para o estoque primário."", ""qtd"": 26, ""id_produto"": 1, ""id_entidade"": 2}"
"2025-01-13 20:03:38";"{""log"": ""produto_estoque_add"", ""obs"": ""Transferência do estoque secundário."", ""qtd"": 26, ""custoun"": 79.32, ""id_produto"": 1, ""id_entidade"": 2}"
