tab_venda_id_venda;tab_venda_id_vendastatus;tab_venda_id_entidade;tab_venda_id_colaborador;tab_venda_id_caixa;tab_venda_data;tab_venda_frete;tab_venda_valor_servico;tab_venda_obs;tab_venda_mesa;tab_venda_versao
120;5;13;1;;"2025-01-05 12:58:34";5.00;0.00;;;0
121;1;;1;;"2025-01-05 12:59:58";0.00;0.00;;;0
122;2;;2;6;"2025-01-06 09:27:44";0.00;0.00;;;0
123;5;108;2;;"2025-01-06 09:30:01";5.00;0.00;;;0
124;5;109;2;;"2025-01-06 09:42:21";0.00;0.00;;;0
125;5;110;2;;"2025-01-06 09:46:33";0.00;0.00;;;0
126;5;111;2;;"2025-01-06 09:57:36";5.00;0.00;;;0
127;5;112;2;;"2025-01-06 10:19:42";5.00;0.00;;;0
128;6;112;2;6;"2025-01-06 10:21:27";5.00;0.00;;;0
129;5;19;2;;"2025-01-06 10:48:06";0.00;0.00;;;0
130;5;113;2;;"2025-01-06 11:16:11";5.00;0.00;;;0
131;1;;2;;"2025-01-06 11:33:06";0.00;0.00;;;0
132;5;31;2;6;"2025-01-06 11:46:18";0.00;0.00;;;0
133;5;34;2;;"2025-01-06 11:59:35";0.00;0.00;;;0
134;5;25;2;6;"2025-01-06 12:05:10";0.00;0.00;;;0
135;5;24;2;;"2025-01-06 12:07:29";0.00;0.00;;;0
136;6;33;2;6;"2025-01-06 12:10:01";0.00;0.00;;;0
137;5;39;2;;"2025-01-06 12:11:28";0.00;0.00;;;0
138;13;42;2;6;"2025-01-06 12:12:54";0.00;0.00;;;0
139;5;116;2;;"2025-01-06 12:14:46";0.00;0.00;;;0
140;5;117;2;;"2025-01-06 12:15:50";0.00;0.00;;;0
141;5;30;2;;"2025-01-06 12:16:51";0.00;0.00;;;0
142;5;19;2;;"2025-01-06 12:57:49";0.00;0.00;;;0
143;5;31;2;;"2025-01-06 13:42:48";0.00;0.00;"foi do dia 04-01-2025 sabado";;0
144;5;119;2;;"2025-01-06 13:52:22";5.00;0.00;;;0
145;5;121;2;;"2025-01-06 13:55:01";0.00;0.00;;;0
146;5;76;2;;"2025-01-06 16:03:30";0.00;0.00;;;0
147;5;123;2;;"2025-01-06 16:25:32";5.00;0.00;;;0
148;1;;2;;"2025-01-06 17:40:49";0.00;0.00;;;0
149;1;;2;;"2025-01-06 18:46:12";0.00;0.00;;;0
150;5;124;2;;"2025-01-06 19:05:12";5.00;0.00;;;0
151;1;;2;;"2025-01-06 19:37:58";0.00;0.00;;;0
152;5;57;2;;"2025-01-06 20:11:43";0.00;0.00;"depois dar uma vazilhinha";;0
153;1;;2;;"2025-01-07 07:58:40";0.00;0.00;;;0
154;2;;2;7;"2025-01-07 08:03:18";0.00;0.00;;;0
155;5;84;2;;"2025-01-07 08:20:01";5.00;0.00;;;0
156;6;84;2;7;"2025-01-07 08:24:31";5.00;0.00;;;0
157;6;84;2;7;"2025-01-07 08:25:53";0.00;0.00;;;0
158;5;77;2;;"2025-01-07 09:06:45";5.00;0.00;;;0
159;6;53;2;7;"2025-01-07 09:18:47";0.00;0.00;;;0
160;1;;2;;"2025-01-07 09:35:16";0.00;0.00;;;0
161;6;51;2;7;"2025-01-07 09:36:42";0.00;0.00;;;0
162;6;10;2;7;"2025-01-07 09:38:18";0.00;0.00;;;0
163;5;10;2;;"2025-01-07 09:38:46";0.00;0.00;;;0
164;1;;2;;"2025-01-07 09:47:11";0.00;0.00;;;0
165;5;50;2;;"2025-01-07 10:25:14";5.00;0.00;;;0
166;1;;2;;"2025-01-07 10:41:19";0.00;0.00;;;0
167;1;;2;;"2025-01-07 10:53:40";0.00;0.00;;;0
168;6;34;2;7;"2025-01-07 12:05:03";0.00;0.00;;;0
169;5;34;2;;"2025-01-07 12:13:29";0.00;0.00;;;0
170;5;25;2;;"2025-01-07 12:21:40";0.00;0.00;;;0
171;5;24;2;;"2025-01-07 12:24:40";0.00;0.00;;;0
172;5;33;2;7;"2025-01-07 12:29:09";0.00;0.00;;;0
173;5;39;2;;"2025-01-07 12:38:33";0.00;0.00;;;0
174;13;42;2;7;"2025-01-07 12:41:01";0.00;0.00;;;0
175;5;30;2;;"2025-01-07 12:54:42";0.00;0.00;;;0
176;6;66;2;7;"2025-01-07 12:57:52";0.00;0.00;;;0
177;5;86;2;;"2025-01-07 12:58:34";0.00;0.00;;;0
178;5;19;2;;"2025-01-07 13:55:58";0.00;0.00;;;0
179;1;;2;;"2025-01-07 13:56:59";0.00;0.00;;;0
180;6;31;2;7;"2025-01-07 14:02:50";0.00;0.00;;;0
181;5;31;2;;"2025-01-07 14:20:34";0.00;0.00;;;0
182;5;76;2;;"2025-01-07 15:26:20";0.00;0.00;;;0
183;6;101;2;7;"2025-01-07 15:48:13";5.00;0.00;;;0
184;5;101;2;;"2025-01-07 15:50:21";5.00;0.00;;;0
185;5;67;2;;"2025-01-07 17:29:45";0.00;0.00;;;0
186;6;43;2;7;"2025-01-07 17:32:10";0.00;0.00;;;0
187;5;43;2;;"2025-01-07 17:34:03";5.00;0.00;;;0
188;5;128;2;;"2025-01-07 17:56:07";5.00;0.00;;;0
189;6;128;2;7;"2025-01-07 17:57:51";5.00;0.00;;;0
190;6;55;2;7;"2025-01-07 18:00:21";5.00;0.00;;;0
191;6;55;2;7;"2025-01-07 18:05:16";0.00;0.00;;;0
192;6;61;2;7;"2025-01-07 18:19:16";0.00;0.00;;;0
193;5;61;2;;"2025-01-07 18:20:47";5.00;0.00;;;0
194;6;54;2;7;"2025-01-07 18:33:07";0.00;0.00;;;0
195;6;107;2;7;"2025-01-07 18:33:34";0.00;0.00;;;0
196;5;107;2;;"2025-01-07 18:34:20";5.00;0.00;;;0
197;5;55;2;;"2025-01-07 18:44:05";5.00;0.00;;;0
198;1;;2;;"2025-01-07 18:56:03";0.00;0.00;;;0
199;5;121;2;;"2025-01-07 20:14:07";0.00;0.00;;;0
200;5;129;2;;"2025-01-08 07:59:40";0.00;0.00;;;0
201;1;;2;;"2025-01-08 08:00:35";0.00;0.00;;;0
202;5;130;2;;"2025-01-08 08:44:56";5.00;0.00;;;0
203;5;60;2;;"2025-01-08 08:47:08";0.00;0.00;;;0
204;1;;2;;"2025-01-08 09:10:02";0.00;0.00;;;0
205;1;;2;;"2025-01-08 09:42:52";0.00;0.00;;;0
206;5;121;2;8;"2025-01-08 10:33:26";0.00;0.00;;;0
207;5;104;2;;"2025-01-08 10:42:54";0.00;0.00;;;0
208;5;19;2;;"2025-01-08 10:54:21";0.00;0.00;;;0
209;1;;2;;"2025-01-08 11:03:37";0.00;0.00;;;0
210;6;115;2;8;"2025-01-08 11:13:09";0.00;0.00;;;0
211;5;115;2;;"2025-01-08 11:14:20";5.00;0.00;;;0
212;5;31;2;8;"2025-01-08 11:53:16";0.00;0.00;;;0
213;5;34;2;;"2025-01-08 11:56:14";0.00;0.00;;;0
214;6;126;2;8;"2025-01-08 11:57:12";0.00;0.00;;;0
215;5;126;2;;"2025-01-08 11:57:52";5.00;0.00;;;0
216;5;25;2;;"2025-01-08 12:00:59";0.00;0.00;;;0
217;13;42;2;8;"2025-01-08 12:02:39";0.00;0.00;;;0
218;5;30;2;;"2025-01-08 12:06:38";0.00;0.00;;;0
219;1;;2;;"2025-01-08 13:00:21";0.00;0.00;;;0
220;5;131;2;;"2025-01-08 13:27:37";5.00;0.00;;;0
221;6;51;2;8;"2025-01-08 13:31:13";0.00;0.00;;;0
222;6;125;2;8;"2025-01-08 13:31:39";0.00;0.00;;;0
223;5;125;2;;"2025-01-08 13:32:15";5.00;0.00;;;0
224;5;132;2;;"2025-01-08 14:05:08";0.00;0.00;;;0
225;5;133;2;;"2025-01-08 14:17:00";5.00;0.00;;;0
226;5;74;2;;"2025-01-08 15:38:07";0.00;0.00;;;0
227;5;25;2;;"2025-01-08 15:39:20";0.00;0.00;;;0
228;1;;2;;"2025-01-08 16:45:06";0.00;0.00;;;0
229;5;134;2;;"2025-01-08 18:21:33";5.00;0.00;;;0
230;6;70;2;8;"2025-01-08 18:25:06";0.00;0.00;;;0
231;5;70;2;;"2025-01-08 18:25:45";5.00;0.00;;;0
232;5;135;2;;"2025-01-08 18:35:36";5.00;0.00;;;0
233;5;136;2;;"2025-01-09 08:13:45";5.00;0.00;;;0
234;5;137;2;9;"2025-01-09 08:46:04";0.00;0.00;;;0
235;5;138;2;;"2025-01-09 08:52:58";0.00;0.00;;;0
236;5;139;2;;"2025-01-09 09:01:39";0.00;0.00;;;0
237;6;98;2;9;"2025-01-09 10:55:42";0.00;0.00;;;0
238;5;140;2;;"2025-01-09 10:57:40";5.00;0.00;;;0
239;5;141;2;;"2025-01-09 11:48:02";5.00;0.00;"dar uma vazilha";;0
240;5;142;2;;"2025-01-09 12:08:35";5.00;0.00;;;0
241;6;142;2;9;"2025-01-09 12:10:05";0.00;0.00;;;0
242;5;24;2;;"2025-01-09 12:31:36";0.00;0.00;;;0
243;5;25;2;;"2025-01-09 12:33:35";0.00;0.00;;;0
244;5;31;2;9;"2025-01-09 12:34:17";0.00;0.00;;;0
245;5;143;2;;"2025-01-09 12:35:46";0.00;0.00;;;0
246;5;34;2;;"2025-01-09 12:36:37";0.00;0.00;;;0
247;5;40;2;;"2025-01-09 12:37:22";0.00;0.00;;;0
248;13;42;2;9;"2025-01-09 12:38:09";0.00;0.00;;;0
249;5;138;2;;"2025-01-09 12:41:49";0.00;0.00;;;0
250;5;145;2;;"2025-01-09 12:53:43";0.00;0.00;;;0
251;5;146;2;;"2025-01-09 13:14:16";5.00;0.00;;;0
252;6;73;2;9;"2025-01-09 14:11:19";0.00;0.00;;;0
253;5;73;2;;"2025-01-09 14:12:03";5.00;0.00;"falta o brinde ";;0
254;6;148;2;9;"2025-01-09 15:04:34";0.00;0.00;;;0
255;5;76;2;;"2025-01-09 15:40:08";0.00;0.00;;;0
256;5;75;2;;"2025-01-09 15:40:53";0.00;0.00;;;0
257;5;121;2;9;"2025-01-09 15:44:41";0.00;0.00;;;0
258;5;138;2;;"2025-01-09 16:40:43";0.00;0.00;;;0
259;5;150;2;;"2025-01-09 16:47:19";0.00;0.00;;;0
260;5;151;2;;"2025-01-09 17:39:05";0.00;0.00;;;0
261;6;152;2;9;"2025-01-09 17:46:04";5.00;0.00;;;0
262;6;154;2;9;"2025-01-09 18:50:50";0.00;0.00;;;0
263;6;78;2;9;"2025-01-09 19:09:46";0.00;0.00;;;0
264;6;155;2;9;"2025-01-09 19:45:04";0.00;0.00;;;0
265;6;156;2;10;"2025-01-09 19:46:15";0.00;0.00;;;0
266;5;157;2;;"2025-01-09 19:47:53";0.00;0.00;;;0
267;5;138;2;;"2025-01-09 19:56:36";0.00;0.00;;;0
268;5;78;2;;"2025-01-09 20:07:14";5.00;0.00;;;0
269;5;158;2;9;"2025-01-09 20:11:04";0.00;0.00;;;0
270;5;138;2;;"2025-01-09 20:12:52";0.00;0.00;;;0
271;5;156;2;;"2025-01-09 20:46:05";0.00;0.00;;;0
272;5;121;2;10;"2025-01-10 10:11:19";0.00;0.00;;;0
273;5;159;2;;"2025-01-10 12:06:21";5.00;0.00;;;0
274;5;31;2;10;"2025-01-10 12:15:23";0.00;0.00;;;0
275;5;34;2;;"2025-01-10 12:16:08";0.00;0.00;;;0
276;5;25;2;10;"2025-01-10 12:18:03";0.00;0.00;;;0
277;5;39;2;;"2025-01-10 12:18:53";0.00;0.00;;;0
278;13;42;2;10;"2025-01-10 12:19:35";0.00;0.00;;;0
279;5;30;2;;"2025-01-10 12:21:24";0.00;0.00;;;0
280;5;160;2;;"2025-01-10 12:55:07";5.00;0.00;;;0
281;5;60;2;10;"2025-01-10 13:20:44";0.00;0.00;;;0
282;5;56;2;10;"2025-01-10 14:00:31";0.00;0.00;;;0
283;1;;2;;"2025-01-10 14:01:38";0.00;0.00;;;0
284;5;24;2;;"2025-01-10 14:46:05";0.00;0.00;;;0
285;5;76;2;;"2025-01-10 14:48:16";0.00;0.00;;;0
286;5;161;2;;"2025-01-10 14:55:52";0.00;0.00;;;0
287;6;162;2;22;"2025-01-10 15:02:43";5.00;0.00;"ja deixou pago para poder retirar depois ";;0
288;5;163;2;;"2025-01-10 15:11:12";5.00;0.00;;;0
289;5;164;2;;"2025-01-10 15:43:38";5.00;0.00;;;0
290;5;165;2;;"2025-01-10 15:53:28";5.00;0.00;"faltou o Brinde";;0
291;5;166;2;;"2025-01-10 16:11:43";5.00;0.00;;;0
292;6;166;2;10;"2025-01-10 17:16:15";0.00;0.00;;;0
293;5;167;2;;"2025-01-10 17:40:36";0.00;0.00;;;0
294;5;19;2;;"2025-01-10 18:40:50";0.00;0.00;;;0
295;5;19;2;;"2025-01-10 19:10:46";0.00;0.00;;;0
296;1;;2;;"2025-01-10 19:23:32";0.00;0.00;;;0
297;6;56;2;10;"2025-01-10 19:38:07";0.00;0.00;;;0
298;5;138;2;;"2025-01-10 20:05:56";0.00;0.00;;;0
299;6;138;2;11;"2025-01-10 20:08:44";0.00;0.00;;;0
300;5;158;2;;"2025-01-10 20:26:16";0.00;0.00;;;0
301;5;19;2;;"2025-01-11 10:08:38";0.00;0.00;;;0
302;5;168;2;;"2025-01-11 11:06:09";5.00;0.00;;;0
303;5;169;2;;"2025-01-11 11:16:38";5.00;0.00;;;0
304;5;19;2;;"2025-01-11 11:29:09";0.00;0.00;;;0
305;5;155;2;;"2025-01-11 11:42:32";5.00;0.00;;;0
306;5;19;2;;"2025-01-11 11:45:01";0.00;0.00;;;0
307;1;;2;;"2025-01-11 12:03:28";0.00;0.00;;;0
308;5;121;2;11;"2025-01-11 12:25:35";0.00;0.00;;;0
309;5;172;2;;"2025-01-11 13:05:34";5.00;0.00;;;0
310;5;173;2;;"2025-01-11 13:12:16";5.00;0.00;;;0
311;1;;2;;"2025-01-11 13:23:23";0.00;0.00;;;0
312;5;31;2;11;"2025-01-11 13:33:00";0.00;0.00;;;0
313;5;174;2;;"2025-01-11 13:37:18";5.00;0.00;;;0
314;5;175;2;;"2025-01-11 13:44:49";5.00;0.00;;;0
315;5;34;2;;"2025-01-11 13:57:59";0.00;0.00;;;0
316;5;25;2;;"2025-01-11 13:59:54";0.00;0.00;;;0
317;5;24;2;11;"2025-01-11 14:00:37";0.00;0.00;;;0
318;5;33;2;11;"2025-01-11 14:02:21";0.00;0.00;;;0
319;13;42;2;11;"2025-01-11 14:07:42";0.00;0.00;;;0
320;5;158;2;11;"2025-01-11 14:09:31";0.00;0.00;;;0
321;6;31;2;11;"2025-01-11 14:16:45";0.00;0.00;;;0
322;6;25;2;11;"2025-01-11 14:17:26";0.00;0.00;;;0
323;6;25;2;11;"2025-01-11 14:25:00";0.00;0.00;;;0
324;1;;2;;"2025-01-11 14:26:11";0.00;0.00;;;0
325;1;;2;;"2025-01-11 14:26:38";0.00;0.00;;;0
326;5;176;2;;"2025-01-11 14:39:46";5.00;0.00;;;0
327;5;177;2;;"2025-01-11 15:32:17";5.00;0.00;;;0
328;5;137;2;11;"2025-01-11 15:52:57";0.00;0.00;;;0
329;5;75;2;;"2025-01-11 15:56:25";0.00;0.00;;;0
330;5;76;2;;"2025-01-11 15:57:09";0.00;0.00;;;0
331;5;178;2;;"2025-01-11 16:00:53";5.00;0.00;;;0
332;5;76;2;;"2025-01-11 16:05:22";0.00;0.00;;;0
333;5;38;2;;"2025-01-11 16:16:05";0.00;0.00;;;0
334;5;121;2;11;"2025-01-11 16:30:46";0.00;0.00;;;0
335;1;;2;;"2025-01-11 17:35:45";0.00;0.00;;;0
336;2;19;2;11;"2025-01-11 18:01:32";0.00;0.00;;;0
337;1;138;2;;"2025-01-11 18:19:13";0.00;0.00;;;0
338;2;;2;12;"2025-01-11 19:06:14";0.00;0.00;;;0
339;5;180;2;;"2025-01-12 08:59:45";5.00;0.00;;;0
340;5;19;2;;"2025-01-12 09:02:05";0.00;0.00;;;0
341;6;121;2;12;"2025-01-12 09:10:49";0.00;0.00;;;0
342;5;181;2;;"2025-01-12 09:21:50";5.00;0.00;;;0
343;5;182;2;;"2025-01-12 11:10:12";5.00;0.00;;;0
344;1;;2;;"2025-01-12 11:12:22";0.00;0.00;;;0
345;5;183;2;;"2025-01-12 11:20:44";5.00;0.00;;;0
346;5;121;2;12;"2025-01-12 11:28:21";0.00;0.00;;;0
347;1;;2;;"2025-01-12 11:28:51";0.00;0.00;;;0
348;1;;2;;"2025-01-12 11:32:47";0.00;0.00;;;0
349;5;121;2;12;"2025-01-12 12:41:47";0.00;0.00;;;0
350;5;186;2;;"2025-01-12 13:09:22";5.00;0.00;;;0
351;5;187;2;;"2025-01-12 13:50:01";5.00;0.00;;;0
352;5;188;2;;"2025-01-12 13:53:21";5.00;0.00;;;0
353;5;138;2;;"2025-01-12 14:02:59";0.00;0.00;;;0
354;1;;2;;"2025-01-12 14:09:59";0.00;0.00;;;0
355;5;190;2;;"2025-01-12 14:18:59";5.00;0.00;;;0
356;5;138;2;;"2025-01-12 14:30:53";0.00;0.00;;;0
357;6;192;2;13;"2025-01-12 15:17:37";0.00;0.00;;;0
358;5;138;2;;"2025-01-12 15:17:59";0.00;0.00;;;0
359;5;193;2;;"2025-01-13 11:08:41";5.00;0.00;;;0
360;5;194;2;;"2025-01-13 11:18:21";0.00;0.00;;;0
361;5;195;2;;"2025-01-13 11:28:35";5.00;0.00;;;0
362;5;34;2;;"2025-01-13 14:13:50";0.00;0.00;;;0
363;5;25;2;;"2025-01-13 14:15:06";0.00;0.00;;;0
364;5;39;2;;"2025-01-13 14:16:04";0.00;0.00;;;0
365;13;42;2;13;"2025-01-13 14:16:32";0.00;0.00;;;0
366;5;40;2;;"2025-01-13 14:17:59";0.00;0.00;;;0
367;5;30;2;;"2025-01-13 14:18:55";0.00;0.00;;;0
368;5;76;2;;"2025-01-13 14:21:45";0.00;0.00;;;0
369;5;196;2;;"2025-01-13 14:24:35";5.00;0.00;;;0
370;1;;2;;"2025-01-13 18:06:26";0.00;0.00;;;0
371;5;197;2;;"2025-01-13 18:07:30";5.00;0.00;;;0
372;5;199;2;;"2025-01-13 18:55:46";5.00;0.00;;;0
373;5;200;2;;"2025-01-13 19:03:52";0.00;0.00;;;0
374;5;138;2;;"2025-01-13 19:08:08";0.00;0.00;;;0
375;5;121;2;13;"2025-01-13 19:12:06";0.00;0.00;;;0
376;5;201;2;;"2025-01-13 19:30:41";5.00;0.00;;;0
377;5;31;2;14;"2025-01-13 20:18:53";0.00;0.00;;;0
378;5;202;2;;"2025-01-14 08:55:42";5.00;0.00;;;0
379;5;109;2;;"2025-01-14 09:39:00";0.00;0.00;;;0
380;5;203;2;;"2025-01-14 11:06:59";5.00;0.00;;;0
381;5;24;2;;"2025-01-14 12:22:08";0.00;0.00;;;0
382;5;25;2;;"2025-01-14 12:23:36";0.00;0.00;;;0
383;5;31;2;14;"2025-01-14 12:24:19";0.00;0.00;;;0
384;5;33;2;;"2025-01-14 12:27:11";0.00;0.00;;;0
385;5;34;2;;"2025-01-14 12:29:59";0.00;0.00;;;0
386;5;117;2;;"2025-01-14 12:30:44";0.00;0.00;;;0
387;5;39;2;;"2025-01-14 12:32:37";0.00;0.00;;;0
388;13;42;2;14;"2025-01-14 12:33:28";0.00;0.00;;;0
